,N Most Traded,Momentum
2019-11-14 00:00:00,346.07067294941487,628.6997322165649
2019-11-15 00:00:00,337.90334389979563,633.6723621937732
2019-11-16 00:00:00,341.24989799558443,615.8189432978297
2019-11-17 00:00:00,343.7712475927662,606.6352121663219
2019-11-18 00:00:00,334.47744180633794,601.3586077603419
2019-11-19 00:00:00,331.13162577118953,613.8256436175611
2019-11-20 00:00:00,327.0780444950513,619.5820315325099
2019-11-21 00:00:00,311.1248230342976,592.5183628830301
2019-11-22 00:00:00,297.05462752136816,597.940261174895
2019-11-23 00:00:00,302.25951026481573,587.0966118454794
2019-11-24 00:00:00,287.23370587996715,580.8890557729089
2019-11-25 00:00:00,288.91905467819237,582.8336469910728
2019-11-26 00:00:00,293.61899866412205,616.1479740082152
2019-11-27 00:00:00,299.1762408530927,594.2458510277646
2019-11-28 00:00:00,296.7474047149441,588.5172292847865
2019-11-29 00:00:00,304.3379931173352,600.6473633124929
2019-11-30 00:00:00,298.84341028752203,604.5561703573882
2019-12-01 00:00:00,297.20741618848206,594.0118244153023
2019-12-02 00:00:00,291.62759748306974,612.2505650125136
2019-12-03 00:00:00,290.7885710331548,605.9854408747955
2019-12-04 00:00:00,288.87749265338203,601.5675121946952
2019-12-05 00:00:00,293.4443126929364,607.8418015479878
2019-12-06 00:00:00,294.9702395760136,622.2527113787488
2019-12-07 00:00:00,295.8390009755658,625.3821175716226
2019-12-08 00:00:00,297.75505020738944,605.1079717428737
2019-12-09 00:00:00,292.5446314029058,596.8428822325986
2019-12-10 00:00:00,290.21184632138164,590.7060635687973
2019-12-11 00:00:00,287.5326562535605,592.218856778584
2019-12-12 00:00:00,287.8012914500338,590.668940446412
2019-12-13 00:00:00,288.23346755154955,592.2041898756268
2019-12-14 00:00:00,284.6754594668688,597.0115580381685
2019-12-15 00:00:00,285.2821096868198,587.3155245289381
2019-12-16 00:00:00,272.3250405991812,587.916574052279
2019-12-17 00:00:00,254.34288374979795,560.6858876091268
2019-12-18 00:00:00,272.74735400223625,562.5966902915645
2019-12-19 00:00:00,268.14199528842835,562.6096123644174
2019-12-20 00:00:00,269.7708521131699,535.0056997254353
2019-12-21 00:00:00,268.4350414645891,536.5424330524833
2019-12-22 00:00:00,275.9478078396281,536.4543801761006
2019-12-23 00:00:00,270.52759828016286,533.7694217838838
2019-12-24 00:00:00,270.4148144962296,541.921134431514
2019-12-25 00:00:00,268.2803936496113,552.1349638585389
2019-12-26 00:00:00,267.36640449222784,550.2645841208613
2019-12-27 00:00:00,269.6119953351304,549.1935733862065
2019-12-28 00:00:00,272.7710568569253,555.0242010789667
2019-12-29 00:00:00,278.63560371833256,556.2801560312163
2019-12-30 00:00:00,274.9856449768518,557.0430142651709
2019-12-31 00:00:00,270.37031618495274,557.9031131095156
2020-01-01 00:00:00,271.747934503022,551.078183171436
2020-01-02 00:00:00,264.6686888820224,550.8797186654458
2020-01-03 00:00:00,275.32833725537563,543.124486635586
2020-01-04 00:00:00,277.78977116752594,533.9207393506523
2020-01-05 00:00:00,278.84951046882225,518.0727614940108
2020-01-06 00:00:00,294.9510787565426,523.8816414495125
2020-01-07 00:00:00,296.3271217470564,520.0202580201578
2020-01-08 00:00:00,292.58539420358784,522.3424411322168
2020-01-09 00:00:00,288.605757103665,518.3356940761568
2020-01-10 00:00:00,299.05806653385093,529.7693862615988
2020-01-11 00:00:00,298.13085493376354,530.4124333492246
2020-01-12 00:00:00,303.91568395745054,544.059654514714
2020-01-13 00:00:00,300.47062829322283,555.3016193437754
2020-01-14 00:00:00,331.28069665560923,584.9710720350936
2020-01-15 00:00:00,330.103792806031,599.9048205767879
2020-01-16 00:00:00,327.0020296489866,588.5988163045405
2020-01-17 00:00:00,338.6317197680206,589.8927419019129
2020-01-18 00:00:00,339.5352380808136,586.9731722000671
2020-01-19 00:00:00,330.215430692694,575.8023570939745
2020-01-20 00:00:00,328.7244231703293,578.3801131770792
2020-01-21 00:00:00,332.0578139808736,569.2273938307186
2020-01-22 00:00:00,331.4639239372512,566.1983707860276
2020-01-23 00:00:00,320.08436048654994,548.6823889472827
2020-01-24 00:00:00,319.7387373559713,551.2061640531434
2020-01-25 00:00:00,316.6760568496476,548.4389692196692
2020-01-26 00:00:00,326.88914741569704,548.6204795494223
2020-01-27 00:00:00,333.588974974271,553.5393482726862
2020-01-28 00:00:00,343.2600907319271,548.8132991341957
2020-01-29 00:00:00,341.0779301577037,535.7201564282648
2020-01-30 00:00:00,357.6509402000705,537.1812400629801
2020-01-31 00:00:00,353.05909138637026,535.640384022317
2020-02-01 00:00:00,358.5108709297937,542.5534917228636
2020-02-02 00:00:00,362.1819747947272,558.4059669588798
2020-02-03 00:00:00,362.8080428457919,559.1164405905843
2020-02-04 00:00:00,363.72374769499845,605.5378294165254
2020-02-05 00:00:00,380.47802608696514,600.1598361846291
2020-02-06 00:00:00,386.23562975943895,598.270720827099
2020-02-07 00:00:00,390.7971821491072,662.9257109986546
2020-02-08 00:00:00,393.28459993907944,650.3203390188064
2020-02-09 00:00:00,399.47981274749986,648.9331361119991
2020-02-10 00:00:00,390.36506058133995,650.0322253831913
2020-02-11 00:00:00,401.3859674746398,649.7160261643323
2020-02-12 00:00:00,424.5802081917341,674.8285031751108
2020-02-13 00:00:00,429.4772217021552,657.4459987408612
2020-02-14 00:00:00,440.4926517140895,661.3698839784222
2020-02-15 00:00:00,416.356360311819,653.9374521458847
2020-02-16 00:00:00,410.69996783830567,642.7150974739453
2020-02-17 00:00:00,406.22502343961105,631.5643088025587
2020-02-18 00:00:00,422.36396336826914,800.1121445005175
2020-02-19 00:00:00,399.30200273832486,780.920728613594
2020-02-20 00:00:00,395.44485248322246,671.233270678527
2020-02-21 00:00:00,403.55961155054166,688.7859585784944
2020-02-22 00:00:00,404.3982728168861,709.6533426178329
2020-02-23 00:00:00,416.5362265485688,701.2644017008867
2020-02-24 00:00:00,403.9490586902376,693.0520435459533
2020-02-25 00:00:00,386.4837732247569,665.97883218844
2020-02-26 00:00:00,357.44473553023346,641.5597247716595
2020-02-27 00:00:00,359.70246268681365,636.2177444173599
2020-02-28 00:00:00,356.4032690560149,624.9664033316519
2020-02-29 00:00:00,351.2990294445748,624.036519284443
2020-03-01 00:00:00,348.8886775517328,624.5223333106486
2020-03-02 00:00:00,361.3826408375799,630.266052189388
2020-03-03 00:00:00,358.20563858094107,627.4523359315583
2020-03-04 00:00:00,356.9712732466893,627.1205688978181
2020-03-05 00:00:00,364.75967850186504,624.4719475234439
2020-03-06 00:00:00,371.87475889062534,622.0552416577722
2020-03-07 00:00:00,363.4758213510254,617.9637330468586
2020-03-08 00:00:00,326.4351143158494,601.8838222887066
2020-03-09 00:00:00,323.42723563173365,599.0904887644524
2020-03-10 00:00:00,324.15447473042616,594.744605041489
2020-03-11 00:00:00,318.4981689056426,590.5038699247596
2020-03-12 00:00:00,227.33864899462034,567.9221727378819
2020-03-13 00:00:00,254.85910945025617,564.5011023635957
2020-03-14 00:00:00,239.84670769304216,559.3177122805212
2020-03-15 00:00:00,247.37557349175714,556.9004002320153
2020-03-16 00:00:00,228.92830691173947,540.1720263851146
2020-03-17 00:00:00,233.36067247033387,546.089426625147
2020-03-18 00:00:00,233.4602577358595,600.6418587009707
2020-03-19 00:00:00,266.81209680466617,572.6067578343319
2020-03-20 00:00:00,261.1434026535711,565.5095942415044
2020-03-21 00:00:00,261.9622935761067,563.7617076341548
2020-03-22 00:00:00,248.76282708287576,541.7748432148144
2020-03-23 00:00:00,265.09747185353024,618.8365900299915
2020-03-24 00:00:00,273.4248001229497,619.8081067595192
2020-03-25 00:00:00,269.85606083089647,608.4644994375564
2020-03-26 00:00:00,276.8552552926595,626.0455428740142
2020-03-27 00:00:00,272.5337830369837,624.2072887452774
2020-03-28 00:00:00,268.49276852258185,618.6024703076971
2020-03-29 00:00:00,257.86442046373736,610.5932991863287
2020-03-30 00:00:00,270.6489099964138,616.659395207847
2020-03-31 00:00:00,271.78948943011665,633.7173399069566
2020-04-01 00:00:00,274.4822260639328,628.330635764253
2020-04-02 00:00:00,280.1291106509904,607.3003146097557
2020-04-03 00:00:00,280.653343806394,613.3008023083593
2020-04-04 00:00:00,284.2902750838563,617.2947386000219
2020-04-05 00:00:00,282.19601013224656,604.2835303702732
2020-04-06 00:00:00,305.9165284573814,599.5548318374251
2020-04-07 00:00:00,303.3254952605033,611.581406404629
2020-04-08 00:00:00,312.47405549551377,605.6725290083888
2020-04-09 00:00:00,311.0839361304655,607.6023887003779
2020-04-10 00:00:00,293.77672081259254,586.4755523041464
2020-04-11 00:00:00,293.7480927576469,602.209972408804
2020-04-12 00:00:00,297.21525203977836,614.6328112019655
2020-04-13 00:00:00,291.38819815179215,810.4308143343146
2020-04-14 00:00:00,290.6949438839385,804.0934474143326
2020-04-15 00:00:00,284.2123440591203,798.1477782006476
2020-04-16 00:00:00,302.6748702406901,811.4700095831492
2020-04-18 00:00:00,312.85337867265173,680.3890109698565
2020-04-19 00:00:00,307.18165741257536,690.5530771035789
2020-04-20 00:00:00,296.25043667806807,692.9454631229621
2020-04-21 00:00:00,297.06316600133357,736.0976668740442
2020-04-22 00:00:00,304.57378840144474,764.0831083045013
2020-04-23 00:00:00,310.6019958828471,721.8632671670906
2020-04-24 00:00:00,317.0089066097419,724.0188779622889
2020-04-25 00:00:00,319.38722625658886,736.6358781452391
2020-04-26 00:00:00,321.1624928421601,727.316969650812
2020-04-27 00:00:00,322.7559009447508,705.6574632060427
2020-04-28 00:00:00,331.0920203104062,706.929020453842
2020-04-29 00:00:00,353.9414154579184,719.9692957571189
2020-04-30 00:00:00,341.4105506886614,721.7794296840077
2020-05-01 00:00:00,349.0758147766973,735.6259287922961
2020-05-02 00:00:00,354.00897722550593,750.4652864933245
2020-05-03 00:00:00,348.7213436513257,738.0468956684025
2020-05-04 00:00:00,346.8186746595028,741.6609326306964
2020-05-05 00:00:00,344.89922778710314,775.5444029114815
2020-05-06 00:00:00,345.5605976137695,760.3132438180987
2020-05-07 00:00:00,355.69664919556885,771.3944200311133
2020-05-08 00:00:00,356.34099679079475,758.9668467785526
2020-05-09 00:00:00,352.29567832577715,761.9862292356778
2020-05-10 00:00:00,324.8266182025518,748.8636789923937
2020-05-11 00:00:00,320.2074926403003,721.1584821169669
2020-05-12 00:00:00,324.8513708859167,729.8503476158246
2020-05-13 00:00:00,334.48592491230585,726.8340957489769
2020-05-14 00:00:00,340.8070157987811,726.6372587910851
2020-05-15 00:00:00,332.7163686850863,723.836517727316
2020-05-16 00:00:00,335.4971941584799,728.3364145241653
2020-05-17 00:00:00,340.93461531632107,726.5367455849212
2020-05-18 00:00:00,347.50296928110464,729.4310587757637
2020-05-19 00:00:00,346.6943637128577,734.4673835364274
2020-05-20 00:00:00,341.7002999582459,730.4356100354051
2020-05-21 00:00:00,331.1092665860405,774.4162216583437
2020-05-22 00:00:00,338.18391924827773,784.1843614624304
2020-05-23 00:00:00,338.3290506035799,830.411065001974
2020-05-24 00:00:00,329.3012313463902,903.2337715431352
2020-05-25 00:00:00,332.6836872302605,884.6066317236184
2020-05-26 00:00:00,328.7682399397183,864.0381754365793
2020-05-27 00:00:00,337.5722640652613,865.290811995375
2020-05-28 00:00:00,345.74244523862706,872.2936090820982
2020-05-29 00:00:00,344.58954903427264,874.101018236116
